,始发地,目的地,所在航空公司,航班号,始发机场,目的机场,起飞时间,落地时间,机票价格,数据来源,日期
238,北京,广州,上海航空,FM9315,虹桥国际机场,白云机场,17:25,20:05,480,东方航空,20200720
239,北京,广州,东方航空,MU9315,首都国际机场,白云机场,20:05,20:05,480,东方航空,20200720
240,北京,广州,上海航空,FM9327,虹桥国际机场,白云机场,18:30,21:00,380,东方航空,20200720
241,北京,广州,东方航空,MU9327,首都国际机场,白云机场,21:00,21:00,380,东方航空,20200720
242,北京,广州,东方航空,MU5311,虹桥国际机场,白云机场,19:30,21:50,380,东方航空,20200720
243,北京,广州,东方航空,MU5313,虹桥国际机场,白云机场,20:35,23:00,380,东方航空,20200720
244,北京,广州,上海航空,FM9311,浦东国际机场,白云机场,21:15,23:40,370,东方航空,20200720
245,北京,广州,东方航空,MU9311,浦东国际机场,白云机场,21:15,23:40,370,东方航空,20200720
246,北京,广州,东方航空,MU5315,虹桥国际机场,白云机场,22:25,00:45,180,东方航空,20200720
247,北京,广州,吉祥航空,HO1077,虹桥国际机场,白云机场,08:00,10:15,500,东方航空,20200720
248,北京,广州,东方航空,MU3157,虹桥国际机场,白云机场,10:50,13:15,"1,160",东方航空,20200720
249,北京,广州,东方航空,MU3156,虹桥国际机场,白云机场,11:50,14:20,"1,160",东方航空,20200720
250,北京,广州,东方航空,MU3159,虹桥国际机场,白云机场,15:50,18:15,"1,160",东方航空,20200720
251,北京,广州,吉祥航空,HO1287,虹桥国际机场,白云机场,18:05,20:20,500,东方航空,20200720
252,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200722
253,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200722
254,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200722
255,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200722
256,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,12:50,"1,270",东方航空,20200722
257,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200722
258,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200722
259,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200723
260,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200723
261,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200723
262,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200723
263,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,13:00,"1,270",东方航空,20200723
264,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200723
265,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200723
266,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200723
267,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200723
268,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200723
269,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200723
270,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,13:00,"1,270",东方航空,20200723
